city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth
天津,2017,2310.36,3282.54,12468.2,972.1799999999998,0.07797276270832998,-0.15169451073985674,-0.11269033337568213
天津,2018,2106.24,3103.16,13411.1,996.9200000000001,0.07433543855463012,-0.0883498675531087,-0.05464670651385817
天津,2019,2410.41,3555.71,14097.2,1145.3000000000002,0.08124308373293988,0.14441374202370105,0.14583521313757597
天津,2020,1923.11,3151.35,14230.8,1228.24,0.08630857014363212,-0.20216477694666057,-0.11372131023058685
天津,2021,2141.06,3152.55,16093.2,1011.4900000000002,0.0628520120299257,0.11333205068872809,0.00038078918558714925
天津,2022,1846.69,2729.83,16588.5,883.1399999999999,0.053238086626277235,-0.13748797324689632,-0.13408827774341414
天津,2023,2027.51,3280.42,17211.8,1252.91,0.07279366481135036,0.09791573030665668,0.2016938783733786
天津,2024,2134.2,3627.18,17931.3,1492.98,0.08326111324889997,0.052621195456495906,0.1057059766737185
天津,2025,,,,,,0.0,0.0
太原,2006,75.33,95.42,1013.65,20.090000000000003,0.019819464312139302,,
太原,2007,88.42,155.8,1254.94,67.38000000000001,0.05369180996701038,0.1737687508296828,0.6327813875497801
